Input	Output
2876  1.93737769080235      0.04126984126984135	2877  1.93737769080235      0.04126984126984135
2877  1.93737769080235      0.04126984126984135	2878  2.13111545988258      -0.0803858520900333
2878  2.13111545988258      -0.0803858520900333	2879  2.13111545988258      -0.0803858520900333
2879  2.13111545988258      -0.0803858520900333	2880  2.13111545988258     -0.08333333333333505
2880  2.13111545988258     -0.08333333333333505	2881  2.13111545988258     -0.07096774193548469
2881  2.13111545988258     -0.07096774193548469	2882  2.13111545988258     -0.07096774193548469
2882  2.13111545988258     -0.07096774193548469	2883  2.13111545988258     -0.07096774193548469
2883  2.13111545988258     -0.07096774193548469	2884  1.99021526418787      0.12380952380952227
2884  1.99021526418787      0.12380952380952227	2885  1.99021526418787      0.11671924290220718
2885  1.99021526418787      0.11671924290220718	2886  1.99021526418787      0.11392405063291128
2886  1.99021526418787      0.11392405063291128	2887  1.99021526418787      0.11041009463722316
2887  1.99021526418787      0.11041009463722316	2888  1.99021526418787      0.11041009463722316
2888  1.99021526418787      0.11041009463722316	2889  1.99021526418787      0.10759493670885938
2889  1.99021526418787      0.10759493670885938	2890  1.99021526418787       0.1047619047619043
2890  1.99021526418787       0.1047619047619043	2891  1.99021526418787      0.09779179810725543
2891  1.99021526418787      0.09779179810725543	2892  1.99021526418787      0.09493670886076026
2892  1.99021526418787      0.09493670886076026	2893  1.99021526418787      0.09493670886076026
2893  1.99021526418787      0.09493670886076026	2894  1.99021526418787      0.09148264984227311
2894  1.99021526418787      0.09148264984227311	2895  1.99021526418787       0.0886075949367101
2895  1.99021526418787       0.0886075949367101	2896  1.99021526418787      0.08517350157728763
2896  1.99021526418787      0.08517350157728763	2897  1.99021526418787      0.08227848101265821
2897  1.99021526418787      0.08227848101265821	2898  1.99021526418787      0.07987220447284456
2898  1.99021526418787      0.07987220447284456	2899  1.99021526418787      0.07348242811501736
2899  1.99021526418787      0.07348242811501736	2900  1.99021526418787      0.07301587301587284
2900  1.99021526418787      0.07301587301587284	2901  1.99021526418787      0.07006369426751663
2901  1.99021526418787      0.07006369426751663	2902  1.99021526418787      0.06369426751592303
2902  1.99021526418787      0.06369426751592303	2903  1.99021526418787      0.06070287539935989
2903  1.99021526418787      0.06070287539935989	2904  1.99021526418787      0.06070287539935989
2904  1.99021526418787      0.06070287539935989	2905  1.99021526418787     0.054313099041532906
2905  1.99021526418787     0.054313099041532906	2906  1.99021526418787      0.05095541401273922
2906  1.99021526418787      0.05095541401273922	2907  1.99021526418787      0.05095541401273922
2907  1.99021526418787      0.05095541401273922	2908  1.99021526418787      0.05095541401273922
2908  1.99021526418787      0.05095541401273922	2909  1.99021526418787       0.0415335463258786
2909  1.99021526418787       0.0415335463258786	2910  1.99021526418787       0.0415335463258786
2910  1.99021526418787       0.0415335463258786	2911  1.99021526418787     0.038216560509553486
